image_id,arquivo_original,caminho_drive,fornecedor,fornecedor_slug,sku,sku_slug,codigo,seq,md5,s3_key,s3_url,etag,status,versao,enviado_em
1OnRXf4X6ynWpj6WrvD72sgXsg-5d2jad,BELIZE1 - BCO.jpg,LIVING/MESAS DE JANTAR - GD/*MESAS DE JANTAR/BELIZE1 - BCO.jpg,Brazil Contemporaneo,brazil-contemporaneo,Base Mesa Jantar Belize para tampo de Mármore,base-mesa-jantar-belize-para-tampo-de-marmore,BCO,1,71b7d74cd64fff556bbeb4ee4607a562,brazil-contemporaneo/base-mesa-jantar-belize-para-tampo-de-marmore/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/brazil-contemporaneo/base-mesa-jantar-belize-para-tampo-de-marmore/1.jpg,,previsto,LATEST,
1D6pvqNabqCs_vnniWPjC9uxxz0h2ByNm,BELIZE2 - BCO.jpg,LIVING/MESAS DE JANTAR - GD/*MESAS DE JANTAR/BELIZE2 - BCO.jpg,Brazil Contemporaneo,brazil-contemporaneo,Base Mesa Jantar Belize para tampo de Mármore,base-mesa-jantar-belize-para-tampo-de-marmore,BCO,2,d5531aab9c357c8d65c6b543f8913aa3,brazil-contemporaneo/base-mesa-jantar-belize-para-tampo-de-marmore/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/brazil-contemporaneo/base-mesa-jantar-belize-para-tampo-de-marmore/2.jpg,,previsto,LATEST,
1H6yMiNm8mG0nKbjeOJ16wmSOxWZJaLyw,DAFF1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/DAFF1 - JAL.jpg,Sollos,sollos,• Poltrona Daff,poltrona-daff,JAL,1,772032cbbb7d2f7081f0cdd6313ed06d,sollos/poltrona-daff/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-daff/1.jpg,,previsto,LATEST,
1EcdNvEhvt49SmPCdpHaB_MtRnuaKyDip,DAFF2 - JAL.jpeg,LIVING/POLTRONAS - GD/POR MARCAS/JADER ALMEIDA/DAFF2 - JAL.jpeg,Sollos,sollos,• Poltrona Daff,poltrona-daff,JAL,2,ea28aca47d5af569366bd3ede5a2c91c,sollos/poltrona-daff/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-daff/2.jpg,,previsto,LATEST,
1x9aPCYq92sq2BNq0EspTYaffrUB9yDwN,DAFF3 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/DAFF3 - JAL.jpg,Sollos,sollos,• Poltrona Daff,poltrona-daff,JAL,3,7e0567e376e872983d75165119db2a27,sollos/poltrona-daff/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-daff/3.jpg,,previsto,LATEST,
1C_JjvHyAe_6EgzGGfRvHwMtyPFNf6ota,DUNNE1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE1 - JAL.jpg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,1,852c9208241951a19de724f42e53b47a,sollos/cama-dunne/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/1.jpg,,previsto,LATEST,
1yZ8hFbfTiQRYUjoaClqQNO5Sssd67-Dz,DUNNE2 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE2 - JAL.jpeg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,2,42278bbfada3473afec1068f90132264,sollos/cama-dunne/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/2.jpg,,previsto,LATEST,
1QO4LOat5Jwl99PtezHVmSzNtjyOMbdcj,DUNNE3 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE3 - JAL.jpeg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,3,ba41756751c34f84c4b844818f7d9fe4,sollos/cama-dunne/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/3.jpg,,previsto,LATEST,
1nUftevzOiuQ9sOVyXo0kzx6BcGCxqsPH,DUNNE4 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE4 - JAL.jpeg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,4,4f223a2c5e9fd075cdbbb8fae1b3a50c,sollos/cama-dunne/4.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/4.jpg,,previsto,LATEST,
1aBcRso4tUkO_23rFF4wBy_uZjYV-KakG,DUNNE5 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE5 - JAL.jpeg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,5,998f77b061ec400eb241d716bd2c5d3d,sollos/cama-dunne/5.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/5.jpg,,previsto,LATEST,
1Ybp9fGDcEuxUPSeDXDB3Ia7m6Bd5Hkpu,DUNNE6 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE6 - JAL.jpg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,6,bfde4900be4070fee14bcad4fe3750d9,sollos/cama-dunne/6.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/6.jpg,,previsto,LATEST,
11KC2gZs3oQAQBkH5nDWVUCbjiTPVdS66,DUNNE7 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE7 - JAL.jpg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,7,f04de070890ea48a95699993c8355548,sollos/cama-dunne/7.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/7.jpg,,previsto,LATEST,
1VUliyvZg_xvJssfZMDWnvmQoj7GT8nK8,DUNNE8 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/DUNNE8 - JAL.jpg,Sollos,sollos,CAMA DUNNE,cama-dunne,JAL,8,a60633f0d4afaa26251f1b1d86c7463f,sollos/cama-dunne/8.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/cama-dunne/8.jpg,,previsto,LATEST,
1taCSL42FHhftKjcor08PG2BRAl-4ePpc,CACAU1 - RBA.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU1 - RBA.jpg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,1,a334dc878ef026e9a3f23b208cc51126,roberta-banqueri/cacau/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/1.jpg,,previsto,LATEST,
1o-B3S0AFsRAS9ic64YT_5YUug4DL2pDU,CACAU2 - RBA.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU2 - RBA.jpeg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,2,e9e13d35cac804a9b277b9d3fd63a4b8,roberta-banqueri/cacau/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/2.jpg,,previsto,LATEST,
1Ghlwz_kcVXCXz8RhxBGmvNa5fxKOuS2C,CACAU3 - RBA.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU3 - RBA.jpeg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,3,2dad7e7b15f3f6cf7026c0dced4e6026,roberta-banqueri/cacau/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/3.jpg,,previsto,LATEST,
1hHZxAXbbzrRBeAzqyzGjUt1OrzmyRI1z,CACAU4 - RBA.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU4 - RBA.jpeg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,4,4fce66afb5d2dc098695707c34caeaf9,roberta-banqueri/cacau/4.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/4.jpg,,previsto,LATEST,
183Jy1wWh5MhyJC3PG8Brcw8OFVWlAom7,CACAU5 - RBA.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU5 - RBA.jpeg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,5,c142dfacbea8863ead94f32bd03ef303,roberta-banqueri/cacau/5.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/5.jpg,,previsto,LATEST,
1Tk01n8iZiZ30qwpEvRoH6_YT_Ze7e3pT,CACAU6 - RBA.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU6 - RBA.jpg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,6,3b6b794c3306c40bbc8d58c4e7b4f167,roberta-banqueri/cacau/6.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/6.jpg,,previsto,LATEST,
1Z7FZ4VqMYlqcqo266l0cK7kSg_OxS-L9,CACAU7 - RBA.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU7 - RBA.jpg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,7,8cf7d1d26070cf1fd9aeab18b0623ad8,roberta-banqueri/cacau/7.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/7.jpg,,previsto,LATEST,
1S3LFnIJ6870ErIxlpJGAtJi5SJ2Yy0OZ,CACAU8 - RBA.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/CACAU8 - RBA.jpg,Roberta Banqueri,roberta-banqueri,CACAU,cacau,RBA,8,e3b47041234a2c2d70191252e36850cd,roberta-banqueri/cacau/8.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/roberta-banqueri/cacau/8.jpg,,previsto,LATEST,
1IKmK-F8Eec545ab3Uygf4zMub7inzLoA,WING1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/WING1 - JAL.jpg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,1,8fa0705bc8105cf687c86e5f2e0bd93c,sollos/poltrona-wing-giratoria/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/1.jpg,,previsto,LATEST,
1mL5UZr_VQqCJgwt9MfvIeVq1HGU6MGkG,WING2 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/WING2 - JAL.jpeg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,2,62d0dbf3ca41ab068e3a00b767aef2c8,sollos/poltrona-wing-giratoria/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/2.jpg,,previsto,LATEST,
